requirement,configuration
Configuring Internet Key Exchange for IPsec VPNs and Next Generation Encryption,"Recommended cryptographic algorithms, Standards"
Configure a Class Map for a Layer 3 and Layer 4 Firewall Policy,Creating a Policy Map for a Layer 3 and Layer 4 Firewall Policy
Configuring Zones and Zone Pairs for Asymmetric Routing in an IPv6 Firewall.,Interchassis High Availability Support in IPv6 Zone-Based Firewalls.
Configurable Number of Simultaneous Packets per Flow,"Various methods, including class maps, policy maps, and zones."
Configurable Number of Simultaneous Packets per Flow,341
Configuring Interchassis High Availability for LISP Inner Packet Inspection,354
High Availability Support for Firewall and NAT in H.323 vTCP,Configure ALG—H.323 vTCP with High Availability Support for Firewalls and NAT
WCCP traffic redirection not working when zone-based policy firewall enabled with generic GRE on Cisco Aggregation Services Router.,"Remove the zone-based policy firewall configuration from interfaces. If using a WAE device, WCCP traffic redirection works correctly."
"Match the Internet Control Message Protocol (ICMP) on a Windows system using the traceroute command, and configure an out-to-in zone-based policy with the icmp time-exceeded and icmp host unreachable commands using the pass command.","The configuration for this requirement is specific to Cisco IOS XE Release 3.1S and previous releases. It involves setting up a zone-based firewall policy with ICMP settings, and not using the inspect command."
Zone-mismatch drop configuration in the class parameter map for Cisco IOS XE Release 3.15S and later releases.,"Zone-based firewall support with dynamic interfaces only in the default zone, where interfaces are created or deleted dynamically when traffic is tunneled into tunnels such as IPsec or VPN secure tunnels. Virtual templates are used to support certain types of dynamic interfaces."
Zone-based firewall for security features in the network.,Creating zones and configuring interfaces as members of a given zone to apply policies.
Traffic flow through zone pairs and policies,"Zones, Zone pairs, Policies for inspect or pass actions"
Traffic flow between specific interfaces (E0/E1 and E2) requires an explicit policy. Traffic between E3 and E0/E1/E2 cannot flow unless default zones are enabled.,Maximum of 4000 zones supported on Cisco ASR 1000 Series Aggregation Services Routers.
Define a unidirectional firewall policy between two security zones using the zone-pair security command.,"Use the zone-pair security command to specify the direction of traffic by source and destination zones, which must be security zones. You can select the default or self zone as either the source or the destination zone. To enable default zones, use the zone security default configuration command."
Layer 3 and Layer 4 Class Maps and Policy Maps for traffic stream identification and action performance.,"Configure class map c1 with match criteria of ACL 101 and HTTP protocol, and create an inspect policy map named p1 to specify that packets will be dropped on the traffic at c1."
The traffic must be classified using the order of specific to less specific match criteria in a class map.,class-map type inspect match-any my-test-cmap match protocol http match protocol tcp
Define a class-default in an inspect policy with only drop or pass action.,"In the given example, the configuration is as follows:
1. Create a class-map for HTTP traffic using `match protocol http`.
2. Create a policy-map of type inspect and name it p1.
3. Define a class type inspect c1 in the policy-map p1.
4. Set the action for class c1 to drop.
5. Configure the class-default with either drop or pass action."
Access Control Lists and Class Maps for classifying network traffic and defining permit or deny conditions in an ACL.,"Configure the range of variables in an ACL as match criteria for a class-map, supporting only source address, source port, destination address, destination port, and protocol match criteria."
"The requirement is to have an ACL that matches the HTTP protocol and performs inspection using ""pmap1.""",access-list 102 deny ip 10.2.3.4 0.0.0.0 any; access-list 102 permit any any; class-map type inspect match-all test1; match access-list 102; match protocol http;
Create hierarchical policy maps with child and parent policies for matching protocols and setting idle times.,"!
parameter-map type inspect pmap1
match protocol http
tcp idle-time 15
!
parameter-map type inspect pmap2
match protocol any
udp idle-time 3600
!
policy-map type inspect test
class type inspect test1
service-policy pmap1
!
class type inspect test2
service-policy pmap2
!
class type inspect class-default
drop log"
Network Address Translation (NAT) configuration for private IP internetworks to connect to the Internet and translate addresses between internal and external networks.,"A device configured with NAT should have at least one interface connected to the inside network and one to the outside network, translating private addresses into legal addresses before forwarding packets between networks. In a typical environment, NAT is configured at the exit device between a stub domain and the backbone."
NAT translation for both source and destination IP addresses in a scenario where devices have inside (local) and outside (global) address spaces.,"Inside network has addresses like 192.168.1.1, while the outside network has addresses like 209.165.200.225. NAT translates these addresses to send packets between the networks."
Change the TCP sequence number to allow endpoints to distinguish between optimized and nonoptimized traffic flows.,Enable the sequence number change in Cisco firewall for automatic discovery of optimized traffic without compromising stateful Layer 4 inspection of TCP traffic flows containing internal firewall TCP state variables. Adjust these variables for the presence of WAE devices.
"A requirement of the deployment is to have an edge WAAS device with the Cisco firewall at branch office sites that must inspect the traffic moving to and from a WAN connection. The requirement also includes using Web Cache Communication Protocol (WCCP) for redirecting traffic to an off-path, standalone WAE device for traffic interception.",The configuration for this option is the same as the WAAS branch deployment with an NME-WAE.
Out-of-Order Packet Processing Support in the Zone-Based Firewalls,"In Cisco IOS XE Release 3.5S, if a session does not require DPI, OoO packets are allowed to pass through the router and reach their destination. All Layer 4 traffic with OoO packets is allowed to pass through to their destination. However, if a session requires Layer 7 inspection, OoO packets are still dropped."
Zone-Based Policy Firewall features for Cisco ASR 1000 Series Aggregation Services Routers,Smart Licensing Support for Zone-Based Policy Firewall
Smart Licensing is ENABLED,"License Authorization - EVAL MODE, Evaluation Period Remaining - 65 days, 14 hours, 18 minutes, 58 seconds, License Usage - ASR_1000_AdvEnterprise, Description - Count: 1, Version: 1.0, Status: EVAL MODE"
Configuring a Class Map for a Layer 3 and Layer 4 Firewall Policy,"1. enable
2. configure terminal
3. class-map type inspect [match-any | match-all] class-map-name
4. match access-group {access-group | name access-group-name}
5. match protocol protocol-name [signature]
6. match class-map class-map-name"
Configure a class map for a Layer 3 or Layer 4 firewall policy.,"1. Enter privileged EXEC mode by typing ""enable"" on the device prompt.
2. Use the command ""configure terminal"" to enter global configuration mode.
3. Create a class map using the command ""class-map type inspect [match-any | match-all]"".
4. Define the class map name with the command ""class-map-name"".
5. Configure the match criterion for the class map based on access control list (ACL) using the command ""match access-group {access-group | name access-group-name}"".
6. To configure the match criterion based on a specified protocol, use the command ""match protocol protocol-name [signature]""."
"Cisco stateful packet inspection-supported protocols can be used as match criteria in inspect type class maps, specifying a previously defined class as the match criteria for a class map.",match protocol http; match class-map c1
- Attach a firewall policy map to a zone pair.,- Device(config-pmap-c)# service-policy type inspect policy-map-name
Configuring an Inspect Parameter Map,parameter-map type inspect {parameter-map-name | global | default}
Enable Cisco stateful packet inspection alert messages,"alert {on | off}
Example: Step 5, Device(config-profile)# alert on

Requirement: Enable audit trail messages
Configuration: audit-trail {on | off}
Example: Step 6, Device(config-profile)# audit-trail on

Requirement: Specify the DNS idle timeout (the length of time for which a DNS lookup session will be managed while there is no activity)
Configuration: dns-timeout seconds
Example: Device(config-profile)# dns-timeout 60

Requirement: Configure the timeout for ICMP sessions
Configuration: icmp idle-timeout seconds
Example: Step 8, Device(config-profile)# icmp idle-timeout 90

Requirement: Define the number of existing half-open sessions that will cause the Cisco firewall to start and stop deleting half-open sessions
Configuration: max-incomplete {low | high} number-of-connections
Example: Device(config-profile)# max-incomplete low 800"
"Limit the number of new unestablished sessions before starting to delete half-open sessions and stopping the deletion of half-open sessions. Also, configure the maximum number of allowed sessions on a zone pair.",one-minute low 300
Create at least one security zone and group interfaces that are similar when viewed from a security perspective.,"Use the ""zone security zone-name"" command to create a security zone, and use the ""configure terminal"" command to assign interfaces to the security zones."
Attaching a firewall policy map to the destination zone pair.,service-policy type inspect policy-map-name
Configure NetFlow event logging,"1. enable
2. configure terminal
3. parameter-map type inspect-global
4. log dropped-packets
5. log flow-export v9 udp destination ipv4-address port
6. log flow-export template timeout-rate seconds
7. end
8. show parameter-map type inspect-global"
Configure the firewall with WAAS for Wide Area Application Services (WAAS) traffic flow optimization in a Cisco IOS XE environment.,"1. enable
2. configure terminal
3. ip wccp service-id
4. ip wccp service-id
5. log dropped-packets"
Configure a class-map type inspect for most-traffic and create an inspect type policy-map with a specific protocol as match criteria.,"1. Device(config)# class-map type inspect most-traffic
2. Device(config-cmap)# match protocol http [signature] (if using Cisco stateful packet inspection-supported protocols, replace 'http' with the appropriate protocol name and signature)
3. Exit class-map configuration mode: Device(config-cmap)# exit
4. Create a policy-map type inspect with a specific policy-map-name: Device(config)# policy-map type inspect policy-map-name
5. Specify the matching of the system default class: Device(config-pmap)# class class-default
6. If the system default class is not specified, unclassified packets are matched."
"Create a security zone pair with description ""Internet""",zone-pair security zone-pair name [source source-zone-name | self] destination [self | destination-zone-name]
Configuring Layer 3 and Layer 4 Firewall Policies with access control list (ACL) 199 and deep-packet HTTP inspection enabled. Match access-group 101 for Layer 4 inspection.,"class-map type inspect match-all http-traffic
match protocol http
match access-group 101
!
policy-map type inspect mypolicy
class type inspect http-traffic
inspect
service-policy http http-policy"
Creating an Inspect Parameter Map with specific parameters and configurations.,parameter-map type inspect eng-network-profile alert on audit-trail on dns-timeout 60 icmp idle-timeout 90 max-incomplete low 800 one-minute low 300 sessions maximum 200 tcp finwait-time 5 tcp idle-time 90 tcp max-incomplete host 500 block-time 10 tcp synwait-time 3 udp idle-time 75
Check the TCAM memory used in a device.,"Use the ""show platform hardware qfp active classification feature-manager shm-stats-counter"" command on the device."
Configuring the Cisco Firewall with WAAS and optimizing traffic flow using WCCP for redirecting traffic to a Wide Area Application Engine (WAE) device.,"1. ip wccp 61
2. ip wccp 62
3. parameter-map type inspect global
4. log dropped-packets enable
5. max-incomplete low 18000
6. max-incomplete high 20000"
DHCP Client Request Router Configuration,"Requirement: DHCP Client Request Router Configuration
Configuration: No IP DHCP client request router

Requirement: Interface GigabitEthernet0/1 Configuration
Configuration: Description: Clients, IP Address: 172.25.50.1/24, IP PIM Sparse-Mode, IP NAT Inside, IP Virtual-Reassembly In, Zone Member Security In, Delay: 30, Duplex Auto, Speed Auto

Requirement: Interface Vlan1 Configuration
Configuration: Description: WAAS Interface, IP Address: 172.25.60.1/24, IP WCCP Redirect Exclude In, IP NAT Inside, IP Virtual-Reassembly In, Zone Member Security Waas, Load-Interval: 30

Please note that the text also mentions specific configurations for a WAE (Wide Area Application Engine) device which are not included in the extracted configurations."
"Cryptographic configuration for IKEv2 VPN using 3DES encryption, SHA-256 integrity, and group 5","Crypto IKEv2 proposal PROP, Encryption 3des, Integrity sha256, Group 5"
Configuring Firewall with FlexVPN and DVTI Under a Different Zone,"1. crypto ikev2 proposal PROP
   - encryption 3des
   - integrity sha256
   - group 5
2. crypto ikev2 policy POL
   - match fvrf any
   - proposal PROP
3. crypto ikev2 keyring keyring1
   - peer peer1
   - address 0.0.0.0 0.0.0.0
   - pre-shared-key cisco1
4. crypto ikev2 keyring keyring2
   - peer peer2
   - address 0.0.0.0 0.0.0.0
   - pre-shared-key cisco2
5. ..."
Configuring tunnels and security zones for different interfaces.,"1. Interface Gi0/0/0.5:
   - Encapsulation: dot1q 5
   - IP Address: 100.1.4.1 /24
   - Zone Member Security: in

2. Interface Gi0/0/0.6:
   - Encapsulation: dot1q 6
   - IP Address: 100.1.5.1 /24
   - Zone Member Security: in

3. Virtual-Template1:
   - Type: tunnel
   - Unnumbered: loopback1
   - Zone Member Security: zone1
   - Tunnel Source: loopback1
   - Tunnel Mode: ipsec ipv4
   - Tunnel Protection Profile: ipsec1

4. Virtual-Template2:
   - Type: tunnel
   - Unnumbered: loopback2
   - Zone Member Security: zone2
   - Tunnel Source: loopback2
   - Tunnel Mode: ipsec ipv4
   - Tunnel Protection Profile: ipsec2

5. Virtual-Template3:
   - Type: tunnel
   - Unnumbered: loopback3
   - Zone Member Security: zone3
   - Tunnel Source: loopback3
   - Tunnel Mode: ipsec ipv4
   - Tunnel Protection Profile: ipsec3

6. Virtual-Template4:
   - Type: tunnel
   - Unnumbered: loopback4
   - Zone Member Security: zone4
   - Tunnel Source: loopback4
   - Tunnel Mode: ipsec ipv4
   - Tunnel Protection Profile: ipsec4

7. Virtual-Template5:
   - Type: tunnel
   - Unnumbered: loopback5
   - Zone Member Security: (Not specified in the provided text)"
Zone-Based Policy Firewall features for Cisco ASR 1000 Series Aggregation Services Routers,"Separate license required to enable and disable features, Smart License support for Zone-Based Firewall on ASR1000 feature implemented with the Universal K9 software image"
IPv6 Zone-Based Firewall Support over VASI,"Requirement: IPv6 Zone-Based Firewall Support over VASI
Configuration: Zone-Based Policy Firewall module."
Dual-Stack Firewalls configuration with support for IPv4 and IPv6 traffic.,"Dual-Stack Firewalls can be configured in scenarios where one firewall zone runs IPv4 traffic and another runs IPv6 traffic, or when stateful Network Address Translation 64 (NAT64) is deployed with coexistence of IPv4 and IPv6 traffic. The same zone pair allows both IPv4 and IPv6 traffic."
The firewall must recognize the Payload Length and Next Header Length fields to create a session and calculate the length of some Layer 4 protocols such as ICMP and TCP.,Not inspected.
Decrement Hop Limit value by one.,None (the device can decrement the value without recalculating the checksum for IPv6 header).
Firewall support for inspection of fragmented IPv6 packets and creation of UDP sessions based on the configured policy.,"The firewall supports the inspection of fragmented IPv6 packets, and it creates UDP sessions when the first UDP packet that matches the configured policy arrives."
Firewall inspection of fragmented packets using Virtual Fragmentation Reassembly (VFR) for correct order and automatic configuration when enabling firewall on an interface.,"Enabling the firewall on an interface by adding it to a zone, with VFR configured automatically on the same interface. If explicitly disabled, the firewall only inspects the first fragments with Layer 4 headers and passes the rest without inspection."
"The firewall inspects ICMPv6 messages, supports Stateful NAT64, and uses an IPv6 ACL with embedded IPv4 addresses.","Firewall inspection for specific ICMPv6 messages (ECHO REQUEST, ECHO REPLY, DESTINATION UNREACHABLE, PACKET TOO BIG, PARAMETER PROBLEM, TIME EXCEEDED), and Zone-Based Policy Firewall support for Stateful NAT64."
VRF-aware Stateful NAT64 configuration is not supported with firewall.,ACL must use IPv6 addresses to filter Stateful NAT64 packets and support port-to-application mapping for customizing TCP or UDP port numbers.
Define a zone pair and a policy map with pass action for both outside-to-inside and inside-to-outside policies for IPv6 traffic.,"1. Configure the policy map type inspect outside-to-inside-policy with the ipv6-class class and pass action:
```
policy-map type inspect outside-to-inside-policy
class type inspect ipv6-class
pass
```
2. Configure the policy map type inspect inside-to-outside-policy with the v6_class class and pass action:
```
policy-map type inspect inside-to-outside-policy
class type inspect v6_class
pass
```"
Enable VRF configuration mode and configure sessions that carry standard IPv6 address prefixes.,vrf-definition VRF1; address-family ipv6; exit-address-family; exit
Configure the number of allowed sessions for a zone pair in the inspect action parameter map.,Device(config)# parameter-map type inspect ipv6-param-map sessions maximum sessions
Configuring Zones and Applying Zones to Interfaces,Device(config)# zone security z1
Configure IPv6 address and enable IPv6 processing on a subinterface.,"1. Enter subinterface configuration mode (e.g., Device(config-subif)#).
2. Set the IPv6 address and prefix length using the ""ipv6 address"" command (e.g., Device(config-subif)# ipv6 address 2001:DB8:2222:7272::72/64)."
Enabling NAT64 on an interface,Device(config-if)# nat64 enable
Set primary or secondary IP address for an interface.,ip address ip-address mask
Implementing IPv6 access control list (ACL) to permit traffic from specific source IPv6 address to a destination IPv6 address.,"Device(config-ipv6-acl)# permit ipv6 host 2001:DB8:1::2 host 209.165:201.25
Example:
Step 19"
Defining a Stateful NAT64 IPv4 address pool.,"Requirement: Defining a Stateful NAT64 IPv4 address pool.
Configuration: nat64 v4 pool pool-name start-ip-address end-ip-address"
Configuring an IPv6 Access List (ACL) and a policy map with a class map for inspecting IPv6 traffic using Zones in Cisco IOS.,"1. Create an IPv6 ACL:
   ```
   Device(config)# ipv6 access-list ipv6-acl
   Device(config-ipv6-acl)# permit ipv6 any any
   Device(config-ipv6-acl)# exit
   ```
2. Create a class map to match traffic based on the ACL:
   ```
   Device(config)# class-map type inspect match-all ipv6-class
   Device(config-cmap)# match access-group name ipv6-acl
   Device(config-cmap)# match protocol tcp
   Device(config-cmap)# exit
   ```
3. Create a policy map for the IPv6 class:
   ```
   Device(config)# policy-map type inspect ipv6-policy
   Device(config-pmap)# class type inspect ipv6-class
   Device(config-pmap-c)# inspect ipv6-param-map
   Device(config-pmap-c)# end
   ```"
Configure an IPv6 firewall and Stateful NAT64 Port Address Translation (PAT).,"- Enable IPv6 unicast routing.
- Create a zone member security for zones z1 and z2.
- Assign IPv6 address to the interfaces gigabitethernet 0/0/0 and 0/0/1, with respective addresses 2001:DB8:2222:7272::72/64 and 2001:DB8:1::2/96.
- Configure NAT64 enable for both interfaces.
- Create an IPv6 access list (ipv6-ipv4-pair) that permits traffic between the IPv6 host 2001:DB8:1::2 and the IPv4 address 209.165.201.25.
- Define a static IPv6 route for the network 2001:DB8:1::2/96."
The Zone-Based Policy firewall supports the inspection of IPv6 packets.,"Introduced or modified commands - ip port-map, show policy-map type inspect zone-pair; Cisco IOS XE Release 3.6S"
VRF (Virtual Routing and Forwarding) for isolating traffic from different customers within a single router and allowing multiple instances of routing tables to coexist.,"Cisco IOS XE VRF support, splitting the router into multiple routing domains with unique table IDs."
VRF-aware firewall that allows users to configure per-VRF firewall and supports overlapping IP address space.,"Supports VRF (not global) firewall command parameters and Denial-of-Service (DoS) parameters, allowing the VRF-aware firewall to run as multiple instances with VRF instances allocated to various VPN customers."
Successful deployment of a peer-to-peer (P2P) VPN implementation using Multiprotocol Label Switching (MPLS) VPN technology to overcome the overlapping addresses issue. Each VPN has its own routing and forwarding table in the device so that any customer or site that belongs to a VPN is provided access only to the set of routes contained within that table.,Not specified in the text
"Network Information Center (NIC)-registered IP addresses for sites that do not possess them, NAT system integration with Multiprotocol Label Switching (MPLS) VPNs.","Dynamic mapping of thousands of hidden internal addresses to a range of easy-to-get addresses, differentiation of MPLS VPNs from which it receives IP traffic for multiple MPLS VPN customers while ensuring complete separation between them."
Implementing NAT on customer edge (CE) or provider edge (PE) devices for MPLS VPN customers to use overlapped IP addresses in their network.,"NAT integration with MPLS VPNs feature enables the implementation of NAT on a PE device in an MPLS cloud, and VRF-Aware ALG is used for translating IP address information inside the payload of application packets."
"Information about source and destination IP address, and destination port. Source port information is not provided.",Not applicable for the given text. The text only provides information on the security configuration guide.
"Implementing VRF-Aware IPsec for mapping IPsec tunnels to MPLS VPNs, using a single public-facing IP address and associating each tunnel with two VRF domains (Front Door VRF and Inside VRF).","Associate the outer encapsulated packet of each IPsec tunnel with the Front Door VRF domain, and associate the inner protected IP packet with the Inside VRF domain. Configure a single interface to terminate one or more IPsec tunnels, ensuring that the FVRF of all these tunnels is set to the VRF configured on that interface. The IVRF of these tunnels can be different, depending on the VRF defined in the ISAKMP profile attached to the crypto."
"Configure either static routing or dynamic routing with BGP, EIGRP, or OSPF for VASI interfaces to ensure vasileft gets automatically paired with vasiright.",N/A (insufficient information provided)
All interfaces associated with a zone must be contained in the same VRF (Virtual Routing Forwarding).,The firewall supports a maximum of
"Distributed Network with VPN1 and VPN2, VLAN segment, and firewall rules for protection.","VPN1 and VPN2 connected to PE1, Site A, PE2, Site B, PE3, VLAN subinterface on PE3."
Configure VRF instance with route distinguisher and export/import route-target.,"Requirement:
Configure VRF instance with route distinguisher and export/import route-target.

Configuration:
1. Enable privileged EXEC mode: enable
2. Enter global configuration mode: configure terminal
3. Define a VRF instance and enter VRF configuration mode: ip vrf vrf-name
4. Specify a route distinguisher for the VRF instance: rd route-distinguisher
5. Create a route-target extended community and export/import routing information: route-target export route-target-ext-community / route-target import route-target-ext-community"
Enable stateful packet inspection on a device using Cisco IOS XE.,class type inspect class-map-name
Create and configure a zone-pair security policy to attach a Layer 7 policy map to a top-level policy map in a router.,"Router(config)# zone-pair security vpn1-global-zone-pair source vpn1-zone destination global-zone
Router(config)# service-policy type inspect policy-map-name global-vpn1-pmap
Router(config)# end"
Configure an interface and enter interface configuration mode.,interface type number
Exit the interface configuration mode and enter global configuration mode.,exit (to exit the interface configuration mode) and Router(config)# command for entering global configuration mode.
Apply Zones to Interfaces and Define Routes for VRF,"1. Configure interfaces with IP addresses and VRF forwarding:
   - gigabitethernet 0/0/0: ip vrf forwarding vrf1, ip address 10.1.1.1 255.255.255.0, zone-member security vpn1-zone, negotiation auto
   - gigabitethernet 1/1/1: ip vrf forwarding vrf1, ip address 10.111.111.111 255.255.255.0, zone-member security global-zone, negotiation auto

2. Define a route for VRF vpn1 using the global interface gigabitethernet 1/1/1:
   - ip route vrf vpn1 10.111.111.0 255.255.255.0 gigabitethernet 1/1/1 global"
VRF-Aware Cisco IOS XE Firewall feature,"Cisco IOS XE Release 2.5, Firewall--VRF-Aware ALG Support"
Layer 2 transparent firewall configuration on bridged packets,Layer 2 interfaces for the transparent firewall configuration
Support for sending TCP reset (RST) packets in Ethernet frames.,Not supported after intrabox high availability switchover and not supported for Virtual TCP (vTCP).
"The transparent firewall supports only Ethernet as a Layer 2 protocol, and supports both IPv4 and IPv6 addresses. It also supports zone-based or Layer 3 firewall configurations on Layer 2 interfaces, and can coexist with the Layer 2 transparent firewall on a device.","The transparent firewall supports IP inspection (ICMP, TCP, UDP) with the following topologies: between two GigabitEthernet interfaces, between a GigabitEthernet interface and a GigabitEthernet subinterface, and between two GigabitEthernet subinterfaces. It passes Address Resolution Protocol (ARP), Multicast packets (RIP, OSPF, OSPFv3, EIGRP IPv4 and IPv6, ISIS IPv4) without a policy attached."
Configure a Layer 2 transparent firewall using the same configuration as zone-based firewalls.,"1. Define class maps using ""class-map"" and ""match-any"".
2. Define policy maps using ""policy-map"" and ""class"".
3. Define zones and zone pairs using ""zone security"" commands.
4. Attach interfaces to firewall zones using ""security"" and ""interface"" commands.
5. Enable local switching by connecting interfaces with the ""switchport"" command."
Implementing a zone-based firewall with two zone pairs (lan2wan and wan2lan) for traffic filtering between LAN and WAN interfaces.,"1. Configure zone security for LAN and WAN.
   - Device(config)# zone security lan
   - Device(config)# zone security wan
2. Create zone-pair security for LAN to WAN and WAN to LAN traffic.
   - Device(config)# zone-pair security lan2wan source lan destination wan
   - Device(config)# service-policy type inspect policy-lan-wan
   - Device(config)# exit
   - Device(config)# zone-pair security wan2lan source wan destination lan
   - Device(config)# service-policy type inspect policy-wan-lan
   - Device(config)# exit
3. Configure interfaces with no IP address and assign them to respective zones.
   - Device(config)# interface gigabitethernet 0/0/0
     - Device(config-if)# no ip address
     - Device(config-if)# zone-member security lan
   - Device(config)# interface gigiabitethernet 0/0/1
     - Device(config-if)# no ip address
     - Device(config-if)# zone-member security wan
4. Configure local switching for L2FW with GigabitEthernet 0/0/0.
   - Device(config)# connect l2fw-conn gigabitethernet 0/0/0"
Create a class map with match-any criteria based on a specified protocol.,"Router(config)# class-map match-any class-map-name
Router(config-cmap)# match protocol protocol-name"
"The requirement is to provide the Cisco IOS XE firewall with the functionality to configure multiple traffic classes (also called nested class maps or hierarchical class maps) as a single traffic class. When packets meet more than one match criterion, you can configure multiple class maps that can be associated with a single traffic policy.",The specific configuration details are not provided in the given text.
Enabling Zone Mismatch Handling to drop packets that do not match the zone through which the session arrives or leaves.,"Device(config)# zone security private, Device(config-sec-zone)# exit, Device(config-profile)# zone-mismatch drop"
Secure the device interfaces with different security zones and IP addresses.,"1. Create a public security zone.
2. Create an internet security zone.
3. Attach the public security zone to interface GigabitEthernet 0/1/5 with IP address 172.16.1.1 and enable it.
4. Attach the public security zone to interface GigabitEthernet 0/1/6 with IP address 209.165.200.226 and enable it.
5. Attach the internet security zone to interface GigabitEthernet 0/1/1 with IP address 198.51.100.1 and enable it.
6. Configure the Zone Mismatch Handling feature with a parameter map called inspect pmap-fw, and set it to drop traffic when there is a zone mismatch."
Implement a policy-map to inspect and classify internet traffic and apply security policies based on the classification.,"1. Create a class-map named ""internet-traffic-class"" that matches any TCP, UDP, or ICMP protocol traffic.
2. Apply the class-map to a policy-map named ""private-internet-policy"".
3. Inspect and apply the security policy using the policy-map for the internet-traffic-class.
4. Create a class-default that drops all other unmatched traffic.
5. Create a zone-pair named ""security"" that includes source traffic from the private network and destination traffic to the internet.
6. Apply the policy-map ""private-internet-policy"" to the zone-pair ""security""."
Firewall Stateful Interchassis Redundancy,"1. The interfaces attached to the firewall must have the same redundant interface identifier (RII).
2. The active device and the standby device must have the same Cisco IOS XE Zone-Based Firewall configuration."
Embedded Service Processor (ESP) must match on both active and standby devices.,"Firewall Stateful Interchassis Redundancy is not supported in LAN and MESH scenarios, Cisco ASR 1006 and Cisco ASR 1013 platforms with dual Embedded Services Processors (ESPs) or dual Route Processors (RPs), and when the dual IOS daemon (IOSd) is configured."
Determine the status of redundancy group members through hello messages sent over the control link. Initiate a switchover if either router does not respond to a hello message within a configurable amount of time.,"1. Active timer
2. Standby timer
3. Hellotime - Interval at which hello messages are sent (defaults to 3 seconds)
4. Holdtime - Time before the active or standby router is declared down (defaults to 10 seconds)
5. Timers can be configured in milliseconds using the command ""timers hellotime msec"""
Configure a unique ID number (RII) for each pair of redundant interfaces.,N/A (not provided in text)
Virtual IP address for routing traffic during redundancy group failover.,"Traffic to the virtual IP address is automatically routed to the newly active redundancy group, and established TCP or UDP sessions are synchronized to the standby redundancy group."
"Enables privileged EXEC mode, enters global configuration mode, enters redundancy configuration mode, enters redundancy application configuration mode, enters redundancy application group configuration mode, and specifies an optional alias for the protocol instance.","1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. group id
6. name group-name
7. shutdown (optional)"
Implement Redundancy Group Protocol for the device using the following steps:,"1. Purpose: Command or Action - Enables privileged EXEC mode.
   Command: enable
2. Step 1: Example - Device> enable
3. Purpose: Command or Action - Enters global configuration mode.
   Command: configure terminal
4. Step 2: Example - Device# configure terminal
5. Purpose: Command or Action - Enters redundancy configuration mode.
   Command: redundancy
6. Step 3: Example - Device(config)# redundancy
7. Purpose: Command or Action - Enters redundancy application configuration mode.
   Command: application
8. Step 4: Example - Device(config-red-app)# protocol id <protocol_id>
9. Step 5: Example - Device(config-red-app)# name group-name
10. Step 6: Example - Device(config-red-app-grp)# timers hellotime {seconds | msec milliseconds} holdtime {seconds | msec milliseconds}
11. Step 7: Example - Device(config-red-app-grp)# authentication {text string | md5 key-string [0 | 7] key-string timeout seconds | key-chain <key_chain_name>}
12. Step 8: Example - Device(config-red-app-grp)# end"
Redundancy Application Protocol Configuration,application redundancy
Configure the redundancy group (RG) with a name,device(config-red-app-prtcl)# name group-name
Enter redundancy application configuration mode and configure application redundancy settings for a redundancy group.,Device(config-red)# application redundancy
Managing and Monitoring Firewall Stateful Inter-Chassis Redundancy,"debug redundancy application group config {all | error | event | func}, debug redundancy application group faults {all | error | event | fault | func}, debug redundancy application group media {all | error | event | nbr | packet {rx | tx} | timer}, debug redundancy application group protocol {all | detail | error | event | media | peer}, debug redundancy application group rii {error | event}, debug redundancy application group transport {db | error | event | packet | timer | trace}, debug redundancy application group vp {error | event}, show redundancy application group [group-id | all], and show redundancy application transport {client | group"
"Configure a redundancy group named ""group1"" with priority, preempt attributes, and track.","1. Enter configuration mode: Device# configure terminal
2. Access redundancy configuration: Device(config)# redundancy
3. Access application redundancy configuration: Device(config-red)# application redundancy
4. Access specific group configuration: Device(config-red-app)# group 1
5. Name the group: Device(config-red-app-grp)# name group1
6. Set priority and failover threshold: Device(config-red-app-grp)# priority 100 failover-threshold 50
7. Enable preempt: Device(config-red-app-grp)# preempt
8. Configure tracking: Device(config-red-app-grp)# track 200 decrement 200
9. Exit the configuration mode: Device(config-red-app-grp)# end"
Configure redundancy group with timers for hello time and hold time messages.,"1. Device# configure terminal
2. Device(config)# redundancy
3. Device(config-red)# application redundancy
4. Device(config-red-app)# protocol 1
5. Device(config-red-app-prtcl)# timers hellotime 3 holdtime 9"
Configure a LAN-LAN topology with stateful redundancy.,"1. Device# configure terminal
2. Device(config)# interface GigabitEthernet 0/1/1 (for Router 1)
3. Device(config-if)# redundancy rii 600
4. Device(config-if)# redundancy group 2 ip 10.2.3.4 exclusive decrement 200
5. Device(config-if)# end
6. Device# configure terminal (for Router 2)
7. Device(config)# interface GigabitEthernet 0/1/1
8. Device(config-if)# redundancy rii 600
9. Device(config-if)# redundancy group 2 ip 10.2.3.4 exclusive decrement 200
10. Device(config-if)# end"
